iter	Passed	Remaining
638	1917	1083
639	1920	1080
640	1923	1077
641	1926	1074
642	1928	1070
643	1931	1067
644	1934	1064
645	1936	1061
646	1939	1058
647	1942	1054
648	1944	1051
649	1947	1048
650	1950	1045
651	1953	1042
652	1955	1039
653	1958	1036
654	1961	1033
655	1964	1030
656	1967	1027
657	1970	1023
658	1972	1020
659	1975	1017
660	1978	1014
661	1981	1011
662	1984	1008
663	1987	1005
664	1989	1002
665	1992	999
666	1995	996
667	1998	993
668	2001	990
669	2004	987
670	2007	984
671	2010	981
672	2013	978
673	2015	975
674	2018	971
675	2021	968
676	2024	965
677	2027	962
678	2029	959
679	2032	956
680	2035	953
681	2038	950
682	2041	947
683	2044	944
684	2046	941
685	2049	938
686	2052	934
687	2055	931
688	2058	928
689	2060	925
690	2063	922
691	2066	919
692	2069	916
693	2071	913
694	2074	910
695	2077	907
696	2079	904
697	2082	901
698	2085	897
699	2088	894
700	2090	891
701	2093	888
702	2096	885
703	2099	882
704	2102	879
705	2104	876
706	2107	873
707	2110	870
708	2112	867
709	2115	864
710	2118	860
711	2120	857
712	2123	854
713	2126	851
714	2128	848
715	2131	845
716	2133	842
717	2136	839
718	2139	836
719	2142	833
720	2145	830
721	2148	827
722	2151	824
723	2154	821
724	2157	818
725	2159	815
726	2162	811
727	2164	808
728	2167	805
729	2170	802
730	2173	799
731	2176	796
732	2179	793
733	2182	790
734	2185	787
735	2188	784
736	2190	781
737	2193	778
738	2196	775
739	2199	772
740	2201	769
741	2204	766
742	2207	763
743	2209	760
744	2212	757
745	2215	754
746	2218	751
747	2220	748
748	2223	745
749	2226	742
750	2228	738
751	2231	736
752	2234	733
753	2237	729
754	2240	726
755	2242	723
756	2245	720
757	2247	717
758	2250	714
759	2253	711
760	2256	708
761	2259	705
762	2262	702
763	2265	699
764	2269	697
765	2271	693
766	2274	690
767	2277	688
768	2280	685
769	2283	681
770	2285	678
771	2288	675
772	2291	672
773	2294	669
774	2297	667
775	2299	663
776	2302	660
777	2305	657
778	2308	654
779	2310	651
780	2313	648
781	2316	645
782	2319	642
783	2324	640
784	2327	637
785	2330	634
786	2333	631
787	2336	628
788	2339	625
789	2343	622
790	2346	619
791	2349	617
792	2352	614
793	2355	611
794	2358	608
795	2360	605
796	2363	601
797	2366	598
798	2369	596
799	2372	593
800	2374	589
801	2377	586
802	2379	583
803	2382	580
804	2384	577
805	2387	574
806	2390	571
807	2393	568
808	2395	565
809	2398	562
810	2401	559
811	2404	556
812	2406	553
813	2409	550
814	2412	547
815	2415	544
816	2417	541
817	2420	538
818	2423	535
819	2425	532
820	2428	529
821	2431	526
822	2434	523
823	2436	520
824	2439	517
825	2441	514
826	2444	511
827	2446	508
828	2449	505
829	2452	502
830	2454	499
831	2457	496
832	2460	493
833	2463	490
834	2466	487
835	2469	484
836	2472	481
837	2474	478
838	2477	475
839	2479	472
840	2482	469
841	2485	466
842	2488	463
843	2491	460
844	2494	457
845	2496	454
846	2500	451
847	2503	448
848	2506	445
849	2509	442
850	2512	439
851	2516	437
852	2518	434
853	2521	431
854	2524	428
855	2527	425
856	2530	422
857	2533	419
858	2537	416
859	2539	413
860	2543	410
861	2546	407
862	2549	404
863	2552	401
864	2555	398
865	2558	395
866	2561	393
867	2565	390
868	2568	387
869	2571	384
870	2574	381
871	2577	378
872	2580	375
873	2583	372
874	2586	369
875	2589	366
876	2592	363
877	2595	360
878	2598	357
879	2600	354
880	2603	351
881	2606	348
882	2609	345
883	2612	342
884	2615	339
885	2618	336
886	2621	333
887	2624	331
888	2627	328
889	2629	325
890	2632	322
891	2635	319
892	2638	316
893	2640	313
894	2643	310
895	2646	307
896	2649	304
897	2651	301
898	2654	298
899	2657	295
900	2660	292
901	2663	289
902	2665	286
903	2668	283
904	2671	280
905	2673	277
906	2676	274
907	2679	271
908	2682	268
909	2685	265
910	2687	262
911	2690	259
912	2693	256
913	2696	253
914	2699	250
915	2702	247
916	2704	244
917	2708	241
918	2710	238
919	2713	235
920	2716	232
921	2718	229
922	2721	227
923	2724	224
924	2727	221
925	2730	218
926	2732	215
927	2735	212
928	2738	209
929	2741	206
930	2745	203
931	2747	200
932	2750	197
933	2753	194
934	2756	191
935	2758	188
936	2761	185
937	2764	182
938	2767	179
939	2770	176
940	2773	173
941	2776	170
942	2778	167
943	2781	164
944	2783	162
945	2786	159
946	2789	156
947	2792	153
948	2795	150
